"Direcc..Media.de.Proced..0.N.90.E."	"logHm0"	"logTm02"	"logTp"	"ID"	"loc"
76	1.67147330335355	1.97962120639763	2.2353763433006	2128	"MarBegur"
215	1.43031124653666	1.88555334851442	2.1540850846756	2128	"MarBegur"
99	1.63510565918268	1.91839212016142	2.13653050866396	2128	"MarBegur"
125	1.68639895357023	1.99877363861238	2.29253475714054	2128	"MarBegur"
115	1.57277392806251	1.94161522477243	2.17133680638409	2128	"MarBegur"
74	1.92424865227413	2.11745960886736	2.39698576841553	2128	"MarBegur"
75	1.85159946958407	2.09309786812732	2.35422832614588	2128	"MarBegur"
94	1.81807677754543	2.04381436403668	2.25339484880327	2128	"MarBegur"
346	1.68824909285839	1.8961194845523	2.2082744135228	2128	"MarBegur"
83	1.78507048107726	2.002830439308	2.25339484880327	2128	"MarBegur"
119	1.5830939370945	1.9473377010465	2.20717490818939	2128	"MarBegur"
91	1.7227665977411	2.00552585872967	2.24389609664537	2128	"MarBegur"
72	1.76130026174335	1.99877363861238	2.24389609664537	2128	"MarBegur"
99	1.50185270175416	1.90359895098359	2.13653050866396	2128	"MarBegur"
41	1.81482474215905	1.94304891677428	2.18041745901984	2128	"MarBegur"
112	1.24126858906963	1.77664583141801	1.97269117173296	2128	"MarBegur"
80	1.8229350866965	2.06305806242931	2.32238772029023	2128	"MarBegur"
81	1.69744878975681	2.01223279198639	2.25339484880327	2128	"MarBegur"
87	1.60542989103656	1.96150224381515	2.18041745901984	2128	"MarBegur"
75	1.73342389221509	2.01356879752913	2.29253475714054	2128	"MarBegur"
96	1.81645208181843	2.04122032885964	2.28238238567653	2128	"MarBegur"
79	1.60743590976343	1.98787434815435	2.24389609664537	2128	"MarBegur"
96	1.53471436623816	1.92424865227413	2.1540850846756	2128	"MarBegur"
86	1.53255686809814	1.90359895098359	2.16332302566054	2128	"MarBegur"
96	1.54543258245819	1.89461685466776	2.1540850846756	2128	"MarBegur"
95	1.56861591791385	1.91692261218206	2.13653050866396	2128	"MarBegur"
122	1.45861502269952	1.88251383249652	2.11142458753289	2128	"MarBegur"
104	1.3244189574018	1.83736998048011	2.05540496385159	2128	"MarBegur"
72	1.35583515363518	1.91250108692418	2.2353763433006	2128	"MarBegur"
97	1.64287268852034	1.95302761682418	2.1540850846756	2128	"MarBegur"
80	1.80500469597808	2.02419306744936	2.25339484880327	2128	"MarBegur"
73	1.7245507195346	2.02814824729229	2.31253542384721	2128	"MarBegur"
71	1.38128181929635	1.87487437593856	2.14593128294867	2128	"MarBegur"
110	1.58514521986506	1.91985947185537	2.12823170584927	2128	"MarBegur"
100	1.47247205736094	1.880990602956	2.11142458753289	2128	"MarBegur"
77	1.71918877639322	2.06178660644112	2.34372703632522	2128	"MarBegur"
84	1.83736998048011	2.04122032885964	2.26384426467762	2128	"MarBegur"
84	1.8196988379173	2.03992078351755	2.25339484880327	2128	"MarBegur"
81	1.67709656090792	1.97408102602201	2.2353763433006	2128	"MarBegur"
352	1.8531680973567	1.96571277635149	2.24177295359729	2128	"MarBegur"
353	2.03470564783844	2.0515563381903	2.33505228313155	2128	"MarBegur"
343	2.05668455455722	1.89160480419777	2.22786154679811	2128	"MarBegur"
71	1.83896107071235	2.05796251000271	2.39698576841553	2128	"MarBegur"
346	1.91102289005487	1.98787434815435	2.2554934854602	2128	"MarBegur"
67	2.06432790386979	2.11866225483312	2.41054223449914	2128	"MarBegur"
333	1.75785791755237	1.9139771019523	2.15524450509534	2128	"MarBegur"
349	2.13179677201376	2.07693841146172	2.33988087773774	2128	"MarBegur"
344	2.15871472257434	1.99877363861238	2.39059597031676	2128	"MarBegur"
350	1.97823903617067	2.05412373369555	2.33408376005342	2128	"MarBegur"
348	2.13534917361813	2.09801792725277	2.38784493694487	2128	"MarBegur"
349	1.92570744173779	2.03992078351755	2.33311429802887	2128	"MarBegur"
348	1.98650354602057	2.03339760317843	2.30258509299405	2128	"MarBegur"
353	1.88706964903238	1.95160817016995	2.2082744135228	2128	"MarBegur"
342	1.96711235670592	1.9387416595767	2.30358459332713	2128	"MarBegur"
75	2.06305806242931	2.18941639488841	2.494031557565	2128	"MarBegur"
349	1.79009141212736	1.87487437593856	2.2082744135228	2128	"MarBegur"
345	1.87946504964716	1.92570744173779	2.2082744135228	2128	"MarBegur"
17	1.94161522477243	2.00417905717929	2.30358459332713	2128	"MarBegur"
344	1.83736998048011	1.87793716546911	2.2082744135228	2128	"MarBegur"
345	1.870262530716	1.9213246735827	2.2082744135228	2128	"MarBegur"
89	1.36353737399727	1.91985947185537	2.2353763433006	2122	"CostaPalamos"
97	1.84530023615608	2.14358936150359	2.39698576841553	2122	"CostaPalamos"
90	1.60140574073684	2.04640168760164	2.32238772029023	2122	"CostaPalamos"
98	1.38379123090177	1.85785927093258	2.22570404865809	2122	"CostaPalamos"
89	1.49290409617815	1.98924327376169	2.24389609664537	2122	"CostaPalamos"
91	1.29198368164865	1.88403474533723	2.2353763433006	2122	"CostaPalamos"
